utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,SI_beta,learning_beta,fairness_type,tag,env_name,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
98.32,-72.80718685045323,0.0,-80.65425,1789.7425,False,True,False,False,False,True,0,0.1,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/SplitNoUtility/0.1/1707420110,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/split_diff/Joint/0.0/1707336619/best/best_model.ckpt,,True,True,False,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
77.18,-17.9052369079181,0.0,2.0762499999999964,375.51875,False,True,False,False,True,True,0,0.2,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/SplitNoUtility/0.2/1707422432,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/Simple/split_diff/Joint/0.0/1707336611/best/best_model.ckpt,,True,True,False,False,False,200,"['relative_job', 'grid', 'relative_util']"
97.74,-54.505808627594554,0.0,-168.98525,1333.62625,False,True,False,False,False,True,0,0.2,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/SplitNoUtility/0.2/1707423029,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/split_diff/Joint/0.0/1707336619/best/best_model.ckpt,,True,True,False,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
2.28,-1.7099040085185129,0.0,0.345,3.87,False,True,False,False,True,True,0,0.5,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/SplitNoUtility/0.5/1707425809,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/Simple/split_diff/Joint/0.0/1707336611/best/best_model.ckpt,,True,True,False,False,False,200,"['relative_job', 'grid', 'relative_util']"
84.86,-39.04097258223431,0.0,-366.126875,901.97375,False,True,False,False,False,True,0,0.5,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/SplitNoUtility/0.5/1707426425,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/split_diff/Joint/0.0/1707336619/best/best_model.ckpt,,True,True,False,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
11.96,-2.4012733114932474,0.6,1.6375,10.3225,False,True,False,False,True,True,0,1.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/SplitNoUtility/1.0/1707428485,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/Simple/split_diff/Joint/0.0/1707336611/best/best_model.ckpt,,True,True,False,False,False,200,"['relative_job', 'grid', 'relative_util']"
16.5,-8.189474875071017,0.0,-102.14625,118.64625,False,True,False,False,False,True,0,1.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/SplitNoUtility/1.0/1707429334,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/split_diff/Joint/0.0/1707336619/best/best_model.ckpt,,True,True,False,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
20.94,-1.7187067698773462,2.5,7.2275,6.85625,False,True,False,False,True,True,0,2.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/SplitNoUtility/2.0/1707431199,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/Simple/split_diff/Joint/0.0/1707336611/best/best_model.ckpt,,True,True,False,False,False,200,"['relative_job', 'grid', 'relative_util']"
73.44,-10.099242396850505,3.94,-324.035,198.7375,False,True,False,False,False,True,0,2.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/SplitNoUtility/2.0/1707432246,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/split_diff/Joint/0.0/1707336619/best/best_model.ckpt,,True,True,False,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
63.32,-0.3536845112339849,13.6,45.345,3.595,False,True,False,False,True,True,0,5.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/SplitNoUtility/5.0/1707433907,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/Simple/split_diff/Joint/0.0/1707336611/best/best_model.ckpt,,True,True,False,False,False,200,"['relative_job', 'grid', 'relative_util']"
7.52,-4.043147866118169,0.0,-334.005,68.305,False,True,False,False,False,True,0,5.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/SplitNoUtility/5.0/1707435157,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/split_diff/Joint/0.0/1707336619/best/best_model.ckpt,,True,True,False,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
0.04,-0.02998800479808077,0.0,-0.035,0.0075,False,True,False,False,True,True,0,10.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/SplitNoUtility/10.0/1707436620,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/Simple/split_diff/Joint/0.0/1707336611/best/best_model.ckpt,,True,True,False,False,False,200,"['relative_job', 'grid', 'relative_util']"
2.3,-0.8632790164461959,0.0,-5.2375,0.75375,False,True,False,False,False,True,0,10.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/SplitNoUtility/10.0/1707438045,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/split_diff/Joint/0.0/1707336619/best/best_model.ckpt,,True,True,False,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
10.98,-0.8861929096135767,1.1,-32.245,2.16125,False,True,False,False,True,True,0,20.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/SplitNoUtility/20.0/1707439303,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/Simple/split_diff/Joint/0.0/1707336611/best/best_model.ckpt,,True,True,False,False,False,200,"['relative_job', 'grid', 'relative_util']"
1.12,-0.5398597395612095,0.0,-7.58,0.435,False,True,False,False,False,True,0,20.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/SplitNoUtility/20.0/1707440943,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/split_diff/Joint/0.0/1707336619/best/best_model.ckpt,,True,True,False,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
0.28,-0.2099160335865654,0.0,-2.345,0.0525,False,True,False,False,True,True,0,50.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/SplitNoUtility/50.0/1707494287,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/Simple/split_diff/Joint/0.0/1707336611/best/best_model.ckpt,,True,True,False,False,False,200,"['relative_job', 'grid', 'relative_util']"
2.88,-1.3558119964582023,0.02,-56.12,1.18,False,True,False,False,False,True,0,50.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/SplitNoUtility/50.0/1707494298,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/split_diff/Joint/0.0/1707336619/best/best_model.ckpt,,True,True,False,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
0.02,-0.014994002399040385,0.0,-0.355,0.00375,False,True,False,False,True,True,0,100.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/SplitNoUtility/100.0/1707496999,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/Simple/split_diff/Joint/0.0/1707336611/best/best_model.ckpt,,True,True,False,False,False,200,"['relative_job', 'grid', 'relative_util']"
2.48,-0.864928196591749,0.02,-138.27,1.4075,False,True,False,False,False,True,0,100.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/SplitNoUtility/100.0/1707497213,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/split_diff/Joint/0.0/1707336619/best/best_model.ckpt,,True,True,False,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
