utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,SI_beta,learning_beta,fairness_type,tag,env_name,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
98.98,-74.23470000121247,0.0,-1738.14125,1837.12125,False,True,False,False,True,True,0,1.0,split_diff,warm5/past0.9,JobNoOccupyWarmStartSimple,5.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.9/Simple/split_diff/Joint/1.0/1709247051,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
92.66,-68.36470328159488,0.0,-1586.29375,1678.95375,False,True,False,False,True,True,0,1.0,split_diff,warm0/past0.9,JobNoOccupyWarmStartSimple,0.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.9/Simple/split_diff/Joint/1.0/1709247063,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-1738.14125,1837.12125,False,True,False,False,True,True,0,1.0,split_diff,warm10/past0.9,JobNoOccupyWarmStartSimple,10.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.9/Simple/split_diff/Joint/1.0/1709247164,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-1738.14125,1837.12125,False,True,False,False,True,True,0,1.0,split_diff,warm5/past0.5,JobNoOccupyWarmStartSimple,5.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.5/Simple/split_diff/Joint/1.0/1709248757,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
94.68,-70.77298686532376,0.0,-1650.6475,1745.3275,False,True,False,False,True,True,0,1.0,split_diff,warm0/past0.5,JobNoOccupyWarmStartSimple,0.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.5/Simple/split_diff/Joint/1.0/1709248763,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-1738.14125,1837.12125,False,True,False,False,True,True,0,1.0,split_diff,warm10/past0.5,JobNoOccupyWarmStartSimple,10.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.5/Simple/split_diff/Joint/1.0/1709248803,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
90.84,-67.15180442609321,0.0,8.263749999999995,1651.525,False,True,False,False,True,True,0,0.05,split_diff,warm0/past0.999,JobNoOccupyWarmStartSimple,0.0,0.999,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.999/Simple/split_diff/Joint/0.05/1709253120,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.94,-74.20470000121298,0.0,7.157437499999997,1835.65125,False,True,False,False,True,True,0,0.05,split_diff,warm10/past0.999,JobNoOccupyWarmStartSimple,10.0,0.999,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.999/Simple/split_diff/Joint/0.05/1709253131,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.9,-71.90816604855314,0.0,9.958312499999995,1778.83375,False,True,False,False,True,True,0,0.05,split_diff,warm5/past0.999,JobNoOccupyWarmStartSimple,5.0,0.999,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.999/Simple/split_diff/Joint/0.05/1709253124,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
94.86,-70.1081868879326,0.0,8.479687499999995,1727.60625,False,True,False,False,True,True,0,0.05,split_diff,warm0/past0.995,JobNoOccupyWarmStartSimple,0.0,0.995,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.995/Simple/split_diff/Joint/0.05/1709254412,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,7.123937499999995,1837.12125,False,True,False,False,True,True,0,0.05,split_diff,warm10/past0.995,JobNoOccupyWarmStartSimple,10.0,0.995,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.995/Simple/split_diff/Joint/0.05/1709254429,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.96,-74.21970000121273,0.0,7.140874999999995,1836.3825,False,True,False,False,True,True,0,0.05,split_diff,warm5/past0.995,JobNoOccupyWarmStartSimple,5.0,0.995,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.995/Simple/split_diff/Joint/0.05/1709254429,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
96.88,-72.03866117405137,0.0,8.052624999999995,1776.5475,False,True,False,False,True,True,0,0.05,split_diff,warm0/past0.99,JobNoOccupyWarmStartSimple,0.0,0.99,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.99/Simple/split_diff/Joint/0.05/1709255673,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,7.123937499999995,1837.12125,False,True,False,False,True,True,0,0.05,split_diff,warm10/past0.99,JobNoOccupyWarmStartSimple,10.0,0.99,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.99/Simple/split_diff/Joint/0.05/1709255693,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.96,-74.21970000121273,0.0,7.140499999999995,1836.39,False,True,False,False,True,True,0,0.05,split_diff,warm5/past0.99,JobNoOccupyWarmStartSimple,5.0,0.99,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.99/Simple/split_diff/Joint/0.05/1709255693,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
94.88,-69.89867254269154,0.0,-77.47325000000001,1723.5325,False,True,False,False,True,True,0,0.1,split_diff,warm0/past0.999,JobNoOccupyWarmStartSimple,0.0,0.999,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.999/Simple/split_diff/Joint/0.1/1709256946,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
97.3,-28.156110369543573,0.0,28.747124999999997,685.52875,False,True,False,False,True,True,0,0.1,split_diff,warm10/past0.999,JobNoOccupyWarmStartSimple,10.0,0.999,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.999/Simple/split_diff/Joint/0.1/1709256962,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.22,-43.75046800602103,0.0,-9.377625000000005,1075.97625,False,True,False,False,True,True,0,0.1,split_diff,warm5/past0.999,JobNoOccupyWarmStartSimple,5.0,0.999,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.999/Simple/split_diff/Joint/0.1/1709256971,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
91.12,-67.84485643195408,0.0,-76.18425,1673.0425,False,True,False,False,True,True,0,0.1,split_diff,warm0/past0.995,JobNoOccupyWarmStartSimple,0.0,0.995,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.995/Simple/split_diff/Joint/0.1/1709258210,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.24,-45.20042117421602,0.0,-12.981750000000007,1112.2175,False,True,False,False,True,True,0,0.1,split_diff,warm10/past0.995,JobNoOccupyWarmStartSimple,10.0,0.995,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.995/Simple/split_diff/Joint/0.1/1709258233,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.02,-32.25332349038071,0.0,18.897124999999996,791.22875,False,True,False,False,True,True,0,0.1,split_diff,warm5/past0.995,JobNoOccupyWarmStartSimple,5.0,0.995,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.995/Simple/split_diff/Joint/0.1/1709258245,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
92.62,-68.15247513174309,0.0,-74.60962500000001,1672.29625,False,True,False,False,True,True,0,0.1,split_diff,warm0/past0.99,JobNoOccupyWarmStartSimple,0.0,0.99,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.99/Simple/split_diff/Joint/0.1/1709259474,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.76,-68.59783668209218,0.0,-70.73375000000001,1694.9375,False,True,False,False,True,True,0,0.1,split_diff,warm10/past0.99,JobNoOccupyWarmStartSimple,10.0,0.99,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.99/Simple/split_diff/Joint/0.1/1709259508,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-84.73212500000001,1837.12125,False,True,False,False,True,True,0,0.1,split_diff,warm5/past0.99,JobNoOccupyWarmStartSimple,5.0,0.99,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.99/Simple/split_diff/Joint/0.1/1709259514,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
90.06,-51.80087129779274,0.0,-158.56475000000003,1243.12375,False,True,False,False,True,True,0,0.2,split_diff,warm0/past0.999,JobNoOccupyWarmStartSimple,0.0,0.999,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.999/Simple/split_diff/Joint/0.2/1709260733,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
95.56,-7.620332149326557,4.66,59.181999999999995,181.89,False,True,False,False,True,True,0,0.2,split_diff,warm10/past0.999,JobNoOccupyWarmStartSimple,10.0,0.999,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.999/Simple/split_diff/Joint/0.2/1709260772,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
