learning_beta,split,multi_head,learn_utility,learn_fairness,system_utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,env_name,env_name_mod,SI_beta,fairness_type,tag,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,phased_training,phase_length,observation_space
1000.0,True,False,False,True,47.39999999999999,-0.1563218390804597,0.0,16.11999999999999,0.03128,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1000.0/3,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1000.0,True,False,False,True,75.00000000000001,-0.1349325337331334,0.0,48.00000000000001,0.0269999999999999,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1000.0/5,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1000.0,True,False,False,True,73.20000000000002,-0.0665667166416791,0.02,59.88000000000002,0.0133199999999999,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1000.0/2,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1000.0,True,False,False,True,40.6,-0.1067466266866566,0.03,19.239999999999995,0.02136,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1000.0/4,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1000.0,True,False,False,True,55.600000000000016,-0.0633683158420789,0.04,42.92000000000003,0.01268,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1000.0/1,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1000.0,True,False,False,True,66.6,-0.032983508245877,0.04,59.99999999999999,0.0066,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1000.0/9,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1000.0,True,False,False,True,34.99999999999996,-0.4247876061969016,0.0,-50.00000000000006,0.085,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1000.0/10,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1000.0,True,False,False,True,60.4,-0.0693653173413293,0.02,46.51999999999999,0.01388,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1000.0/8,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1.0,True,False,False,True,100.0,-0.7996001999000503,0.0,99.84000000000002,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1.0/7,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1.0,True,False,False,True,100.0,-0.7996001999000503,0.0,99.84000000000002,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1.0/6,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1.0,True,False,False,True,100.0,-0.7996001999000503,0.0,99.84000000000002,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1.0/3,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1.0,True,False,False,True,100.0,-0.7996001999000503,0.0,99.84000000000002,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1.0/5,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1.0,True,False,False,True,100.0,-0.7996001999000503,0.0,99.84000000000002,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1.0/2,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1.0,True,False,False,True,100.0,-0.7996001999000503,0.0,99.84000000000002,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1.0/4,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1.0,True,False,False,True,100.0,-0.7996001999000503,0.0,99.84000000000002,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1.0/1,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1.0,True,False,False,True,100.0,-0.7996001999000503,0.0,99.84000000000002,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1.0/9,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1.0,True,False,False,True,100.0,-0.7996001999000503,0.0,99.84000000000002,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1.0/10,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1.0,True,False,False,True,100.0,-0.7996001999000503,0.0,99.84000000000002,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1.0/8,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
0.0,True,False,False,True,100.0,-0.7996001999000503,0.0,100.0,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/0.0/7,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
0.0,True,False,False,True,100.0,-0.7996001999000503,0.0,100.0,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/0.0/6,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
0.0,True,False,False,True,100.0,-0.7996001999000503,0.0,100.0,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/0.0/3,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
